iter	Passed	Remaining
512	888	843
513	891	842
514	892	840
515	893	838
516	895	836
517	896	834
518	897	832
519	898	829
520	900	827
521	901	825
522	902	823
523	904	821
524	905	819
525	906	817
526	908	815
527	909	812
528	910	810
529	911	808
530	913	806
531	914	804
532	915	802
533	916	800
534	920	799
535	921	798
536	924	796
537	926	795
538	928	793
539	929	791
540	931	790
541	932	788
542	934	786
543	936	784
544	938	783
545	940	781
546	944	781
547	945	780
548	948	779
549	950	777
550	951	775
551	953	773
552	955	772
553	956	769
554	957	767
555	960	766
556	961	764
557	963	763
558	966	762
559	967	760
560	968	758
561	969	755
562	971	753
563	972	751
564	974	750
565	976	748
566	977	746
567	978	744
568	979	742
569	980	739
570	982	737
571	983	735
572	984	733
573	985	731
574	987	729
575	988	727
576	991	726
577	992	724
578	993	722
579	995	720
580	996	718
581	997	716
582	998	714
583	1000	712
584	1001	710
585	1002	708
586	1003	705
587	1006	705
588	1010	704
589	1011	702
590	1012	700
591	1013	698
592	1015	696
593	1016	694
594	1017	692
595	1018	690
596	1021	689
597	1022	687
598	1023	685
599	1024	683
600	1026	681
601	1027	679
602	1028	677
603	1031	676
604	1032	674
605	1033	672
606	1037	671
607	1038	669
608	1041	668
609	1042	666
610	1043	664
611	1045	662
612	1046	660
613	1048	658
614	1049	656
615	1053	656
616	1055	655
617	1057	653
618	1059	651
619	1060	649
620	1061	647
621	1062	645
622	1064	643
623	1065	641
624	1068	640
625	1069	638
626	1070	637
627	1072	635
628	1073	633
629	1074	631
630	1076	629
631	1077	627
632	1078	625
633	1079	623
634	1081	621
635	1082	619
636	1083	617
637	1085	615
638	1086	613
639	1087	611
640	1088	609
641	1089	607
642	1090	605
643	1092	603
644	1093	601
645	1094	600
646	1097	598
647	1098	596
648	1100	594
649	1101	593
650	1102	591
651	1103	589
652	1105	587
653	1106	585
654	1107	583
655	1108	581
656	1109	579
657	1112	578
658	1116	577
659	1118	576
660	1119	574
661	1121	572
662	1122	570
663	1123	568
664	1124	566
665	1126	564
666	1127	562
667	1128	560
668	1129	559
669	1131	557
670	1132	555
671	1133	553
672	1135	551
673	1138	550
674	1139	548
675	1142	547
676	1143	545
677	1145	543
678	1146	541
679	1147	540
680	1148	538
681	1150	536
682	1151	534
683	1152	532
684	1153	530
685	1155	528
686	1157	527
687	1159	525
688	1160	523
689	1162	522
690	1164	520
691	1165	518
692	1166	516
693	1167	514
694	1169	513
695	1170	511
696	1171	509
697	1173	507
698	1174	505
699	1175	503
700	1176	501
701	1178	500
702	1179	498
703	1180	496
704	1181	494
705	1182	492
706	1184	490
707	1185	488
708	1186	487
709	1188	485
710	1189	483
711	1190	481
712	1191	479
713	1193	477
714	1194	476
715	1197	474
716	1198	473
717	1199	471
718	1201	469
719	1202	467
720	1203	465
721	1204	463
722	1205	462
723	1207	460
724	1208	458
725	1209	456
726	1210	454
727	1213	453
728	1215	451
729	1216	450
730	1217	448
731	1219	446
732	1220	444
733	1221	442
734	1222	440
735	1224	439
736	1225	437
737	1228	436
738	1229	434
739	1230	432
740	1231	430
741	1233	428
742	1234	427
743	1235	425
744	1237	423
745	1238	421
746	1239	419
747	1240	418
748	1243	416
749	1245	415
750	1247	413
751	1249	411
752	1250	410
753	1251	408
754	1252	406
755	1253	404
756	1255	402
757	1258	401
758	1260	400
759	1261	398
760	1262	396
761	1263	394
762	1264	392
763	1266	391
764	1267	389
765	1268	387
766	1270	385
767	1271	384
768	1274	382
769	1275	381
770	1276	379
771	1278	377
772	1279	375
773	1280	373
774	1281	372
775	1282	370
776	1284	368
777	1285	366
778	1289	365
779	1290	363
780	1291	362
781	1293	360
782	1294	358
783	1295	356
784	1296	355
785	1298	353
786	1299	351
787	1300	349
788	1301	348
789	1304	346
790	1306	345
791	1307	343
792	1308	341
793	1309	339
794	1310	338
795	1312	336
796	1313	334
797	1314	332
798	1315	331
799	1316	329
800	1320	327
801	1321	326
802	1322	324
803	1323	322
804	1325	321
805	1326	319
806	1327	317
807	1329	315
808	1330	314
809	1332	312
810	1335	311
811	1336	309
812	1338	307
813	1342	306
814	1343	305
815	1345	303
816	1347	301
817	1350	300
818	1351	298
819	1352	296
820	1353	295
821	1354	293
822	1356	291
823	1357	290
824	1359	288
825	1360	286
826	1361	284
827	1363	283
828	1365	281
829	1367	280
830	1368	278
831	1370	276
832	1371	274
833	1372	273
834	1373	271
835	1374	269
836	1376	267
837	1377	266
838	1379	264
839	1381	263
840	1382	261
841	1383	259
842	1385	257
843	1386	256
844	1388	254
845	1390	253
846	1391	251
847	1392	249
848	1393	247
849	1395	246
850	1396	244
851	1398	242
852	1399	241
853	1400	239
854	1401	237
855	1403	236
856	1404	234
857	1405	232
858	1406	230
859	1409	229
860	1410	227
861	1412	226
862	1413	224
863	1414	222
864	1416	221
865	1417	219
866	1420	217
867	1421	216
868	1422	214
869	1425	213
870	1426	211
871	1427	209
872	1429	207
873	1430	206
874	1431	204
875	1433	202
876	1434	201
877	1435	199
878	1436	197
879	1438	196
880	1440	194
881	1442	193
882	1444	191
883	1446	189
884	1447	188
885	1449	186
886	1450	184
887	1451	183
888	1452	181
889	1455	179
890	1456	178
891	1457	176
892	1458	174
893	1460	173
894	1461	171
895	1462	169
896	1463	168
897	1464	166
898	1466	164
899	1467	163
900	1469	161
901	1470	159
902	1472	158
903	1473	156
904	1474	154
905	1476	153
906	1477	151
907	1478	149
908	1479	148
909	1480	146
910	1482	144
911	1483	143
912	1485	141
913	1487	139
914	1489	138
915	1491	136
916	1492	135
917	1493	133
918	1494	131
919	1495	130
920	1497	128
921	1498	126
922	1500	125
923	1501	123
924	1502	121
925	1503	120
926	1505	118
927	1506	116
928	1507	115
929	1508	113
930	1511	112
931	1514	110
932	1515	108
933	1517	107
934	1519	105
935	1521	104
936	1523	102
937	1525	100
938	1527	99
939	1530	97
940	1532	96
941	1534	94
942	1535	92
943	1537	91
944	1538	89
945	1539	87
946	1541	86
947	1542	84
948	1544	83
949	1546	81
950	1547	79
951	1548	78
952	1550	76
953	1551	74
954	1552	73
955	1553	71
956	1555	69
957	1557	68
958	1560	66
959	1561	65
960	1562	63
961	1564	61
962	1565	60
963	1566	58
964	1567	56
965	1568	55
966	1570	53
967	1571	51
968	1572	50
969	1574	48
970	1576	47
971	1577	45
972	1579	43
973	1580	42
974	1581	40
975	1582	38
976	1584	37
977	1585	35
978	1586	34
979	1589	32
980	1590	30
981	1591	29
982	1592	27
983	1594	25
984	1595	24
985	1596	22
986	1597	21
987	1598	19
988	1600	17
989	1601	16
990	1602	14
991	1603	12
992	1605	11
993	1606	9
994	1607	8
995	1608	6
996	1610	4
997	1611	3
998	1612	1
999	1613	0
